subject,phase,trial_global,block_type_raw,condition_raw,resp_raw,acc_raw,onset_abs_raw,keypress_abs_raw,rt_raw,block_type_proc,condition_proc,acc_proc,rt_proc,_merge,diff_ms,mismatch_reason
S005,1.0,5,練習,Congruent,b,0.0,40.06084769999143,40.8965157000348,0.8356680000433698,練習,Congruent,0.0,0.8356680000433698,both,0.0,
S005,1.0,6,練習,Congruent,b,1.0,46.0633639000589,47.46389250003267,1.400528599973768,練習,Congruent,1.0,1.400528599973768,both,0.0,
S005,1.0,7,練習,Congruent,,0.0,52.06491750001442,,,練習,Congruent,0.0,,both,,
S005,1.0,8,練習,Congruent,,0.0,58.06663010001648,,,練習,Congruent,0.0,,both,,
S005,1.0,9,練習,Congruent,b,1.0,64.05158960004337,65.51866379997227,1.467074199928902,練習,Congruent,1.0,1.467074199928902,both,0.0,
S005,1.0,10,練習,Congruent,b,1.0,70.05287490005139,71.27060120005626,1.2177263000048697,練習,Congruent,1.0,1.2177263000048697,both,0.0,
S005,1.0,11,正式,Congruent,y,1.0,86.10679270001128,86.95757159998175,0.8507788999704644,正式,Congruent,1.0,0.8507788999704644,both,0.0,
S005,1.0,12,正式,Congruent,b,1.0,92.09175280004274,93.01051379996352,0.918760999920778,正式,Congruent,1.0,0.918760999920778,both,0.0,
S005,1.0,13,正式,Congruent,b,1.0,98.09418040001763,98.97817110002505,0.8839907000074163,正式,Congruent,1.0,0.8839907000074163,both,0.0,
S005,1.0,14,正式,Congruent,y,1.0,104.0951650000643,104.89612599997781,0.8009609999135137,正式,Congruent,1.0,0.8009609999135137,both,0.0,
S005,1.0,15,正式,Congruent,,0.0,110.09646959998643,,,正式,Congruent,0.0,,both,,
S005,1.0,16,正式,Congruent,y,1.0,116.09859940002208,117.33276640006808,1.234167000046,正式,Congruent,1.0,1.234167000046,both,0.0,
S005,1.0,17,正式,Congruent,b,1.0,122.1010580000002,122.96783870004583,0.8667807000456378,正式,Congruent,1.0,0.8667807000456378,both,0.0,
S005,1.0,18,正式,Congruent,y,1.0,128.10139910003636,129.45305859996006,1.3516594999236986,正式,Congruent,1.0,1.3516594999236986,both,0.0,
S005,1.0,19,正式,Congruent,,0.0,134.1028991000494,,,正式,Congruent,0.0,,both,,
S005,1.0,20,正式,Congruent,y,1.0,140.1053296000464,141.58991900004912,1.4845894000027329,正式,Congruent,1.0,1.4845894000027329,both,0.0,
S005,1.0,21,正式,Congruent,b,1.0,156.093086100067,157.4765277999686,1.3834416999015955,正式,Congruent,1.0,1.3834416999015955,both,0.0,
S005,1.0,22,正式,Congruent,b,1.0,162.09453999996185,163.58004519995302,1.4855051999911666,正式,Congruent,1.0,1.4855051999911666,both,0.0,
S005,1.0,23,正式,Congruent,b,1.0,168.0963254000526,168.81311740004458,0.7167919999919832,正式,Congruent,1.0,0.7167919999919832,both,0.0,
S005,1.0,24,正式,Congruent,b,1.0,174.09742450003978,175.43118129996583,1.33375679992605,正式,Congruent,1.0,1.33375679992605,both,0.0,
S005,1.0,25,正式,Congruent,b,1.0,180.0984890999971,180.8166192000499,0.7181301000528038,正式,Congruent,1.0,0.7181301000528038,both,0.0,
S005,1.0,26,正式,Congruent,b,1.0,186.10035520000383,187.00232790003065,0.9019727000268176,正式,Congruent,1.0,0.9019727000268176,both,0.0,
S005,1.0,27,正式,Congruent,y,1.0,192.10177249996923,193.02233680000063,0.9205643000314012,正式,Congruent,1.0,0.9205643000314012,both,0.0,
S005,1.0,28,正式,Congruent,b,0.0,198.1039410000667,199.03976840001997,0.9358273999532684,正式,Congruent,0.0,0.9358273999532684,both,0.0,
S005,1.0,29,正式,Congruent,,0.0,204.10564249998424,,,正式,Congruent,0.0,,both,,
S005,1.0,30,正式,Congruent,,0.0,210.0908476000186,,,正式,Congruent,0.0,,both,,
S005,1.0,31,正式,Congruent,y,1.0,226.09497630002443,227.06248389999382,0.9675075999693944,正式,Congruent,1.0,0.9675075999693944,both,0.0,
S005,1.0,32,正式,Congruent,b,0.0,232.09661160002,233.14941179996825,1.0528001999482512,正式,Congruent,0.0,1.0528001999482512,both,0.0,
S005,1.0,33,正式,Congruent,y,1.0,238.09786640002855,239.21668049995785,1.1188140999292957,正式,Congruent,1.0,1.1188140999292957,both,0.0,
S005,1.0,34,正式,Congruent,,0.0,244.1000935999909,,,正式,Congruent,0.0,,both,,
S005,1.0,35,正式,Congruent,,0.0,250.10100180003792,,,正式,Congruent,0.0,,both,,
S005,1.0,36,正式,Congruent,y,1.0,256.102562300046,257.23781259998213,1.1352502999361604,正式,Congruent,1.0,1.1352502999361604,both,0.0,
S005,1.0,37,正式,Congruent,b,1.0,262.10416280000936,262.83811350003816,0.7339507000287995,正式,Congruent,1.0,0.7339507000287995,both,0.0,
S005,1.0,38,正式,Congruent,,0.0,268.10569160000887,,,正式,Congruent,0.0,,both,,
S005,1.0,39,正式,Congruent,,0.0,274.091350600007,,,正式,Congruent,0.0,,both,,
S005,1.0,40,正式,Congruent,,0.0,280.092775600031,,,正式,Congruent,0.0,,both,,
S005,1.0,41,正式,Congruent,y,1.0,296.096819999977,297.0478329999605,0.9510129999835044,正式,Congruent,1.0,0.9510129999835044,both,0.0,
S005,1.0,42,正式,Congruent,,0.0,302.09852400003,,,正式,Congruent,0.0,,both,,
S005,1.0,43,正式,Congruent,b,1.0,308.10033779998776,309.4682028000243,1.367865000036545,正式,Congruent,1.0,1.367865000036545,both,0.0,
S005,1.0,44,正式,Congruent,y,1.0,314.1023032000521,315.17080039996654,1.0684971999144182,正式,Congruent,1.0,1.0684971999144182,both,0.0,
S005,1.0,45,正式,Congruent,,0.0,320.1034243999748,,,正式,Congruent,0.0,,both,,
S005,1.0,46,正式,Congruent,b,0.0,326.1052069000434,327.3565123999724,1.2513054999290034,正式,Congruent,0.0,1.2513054999290034,both,0.0,
S005,1.0,47,正式,Congruent,y,1.0,332.1067158000078,333.5921501000412,1.4854343000333756,正式,Congruent,1.0,1.4854343000333756,both,0.0,
S005,1.0,48,正式,Congruent,,0.0,338.0918103000149,,,正式,Congruent,0.0,,both,,
S005,1.0,49,正式,Congruent,,0.0,344.0934262999799,,,正式,Congruent,0.0,,both,,
S005,1.0,50,正式,Congruent,,0.0,350.0948904999532,,,正式,Congruent,0.0,,both,,
