subject,phase,block_type,trial_global,trial_block,condition,event,stim_class,stim,resp,rt,acc,err,all_keys,onset_abs,onset_total,onset_r1,onset_r2,target_onset_block,drift
S004,1,正式,60,50,Congruent,,Straight 圖片,Gemini_Generated_Image_22gggh22gggh22gg (4).png,y,0.7019472999963909,1,None,y:0.702,420.11239159997785,424.11,424.11,-,420.110239600006,0.004036900005303323
S004,1,正式,60,0,Congruent,Run1正式結束,,,,,,EVENT,,1763878267.6182895,424.12,424.12,-,,
S004,1,Run End,60,0,Congruent,Run 1 結束,,,,,,EVENT,,1763878271.6193242,428.12,428.12,-,,
S004,,Rest,60,0,,休息開始,,,,,,EVENT,,1763878271.6193242,428.12,428.12,-,,
S004,,Rest,60,0,,休息開始,,,,,,EVENT,,1763878298.1078691,454.60,454.60,-,,
S004,,Rest,60,0,,休息開始,,,,,,EVENT,,1763878320.5768,477.07,477.07,-,,
S004,,Rest,60,0,,休息開始,,,,,,EVENT,,1763878335.0491018,491.55,491.55,-,,
S004,2,Run Start,60,0,Incongruent,Run 2 開始,,,,,,EVENT,,1763878358.1511166,514.65,514.65,-,,
S004,2,練習,60,0,Incongruent,Run2練習開始,,,,,,EVENT,,1763878372.1630106,528.66,528.66,14.01,,
S004,2,練習,61,1,Incongruent,,Straight 圖片,Gemini_Generated_Image_jmgj16jmgj16jmgj.png,y,0.8517636999604292,1,None,y:0.852,530.7102510000113,534.71,534.71,20.06,530.7005137000233,0.010670199990272522
S004,2,練習,62,2,Incongruent,,中 負向 文字,困惑,y,0.7683627999504097,1,None,y:0.768,536.7119038000237,540.71,540.71,26.06,536.7005137000233,0.01212410000152886
S004,2,練習,63,3,Incongruent,,Straight 圖片,ChatGPT Image 2025年11月16日 下午10_10_18.png,y,0.8513431000174023,1,None,y:0.851,542.7132962999749,546.71,546.71,32.07,542.7005137000233,0.013211799960117787
S004,2,練習,64,4,Incongruent,,高 正向 文字,激昂,b,1.2185361000010744,1,None,b:1.219,548.7148757000105,552.72,552.72,38.07,548.7005137000233,0.01537909999024123
S004,2,練習,65,5,Incongruent,,低 負向 文字,無動於衷,y,1.0180183000047691,1,None,y:1.018,554.7163844999741,558.70,558.70,44.05,554.7005137000233,0.0010541999945417047
S004,2,練習,66,6,Incongruent,,高 負向 文字,暴怒,y,0.900841600028798,1,None,y:0.901,560.7014108999865,564.70,564.70,50.05,560.7005137000233,0.0021187999518588185
S004,2,練習,67,7,Incongruent,,Gay 圖片,Gemini_Generated_Image_de198wde198wde19.png,b,1.2186641999869607,1,None,b:1.219,566.7037443000008,570.71,570.71,56.06,566.7005137000233,0.0037153999437578022
S004,2,練習,68,8,Incongruent,,中 正向 文字,隨和,b,1.2011471000150777,1,None,b:1.201,572.7050432999968,576.71,576.71,62.06,572.7005137000233,0.005833799950778484
S004,2,練習,69,9,Incongruent,,Gay 圖片,Gemini_Generated_Image_941ux7941ux7941u (2).png,b,0.8682629000395536,1,None,b:0.868,578.7061251999694,582.71,582.71,68.06,578.7005137000233,0.007104899967089295
S004,2,練習,70,10,Incongruent,,Straight 圖片,ChatGPT Image 2025年11月16日 下午10_10_21.png,y,0.884697400033474,1,None,y:0.885,584.7078682999709,588.71,588.71,74.06,584.7005137000233,0.00844959996175021
S004,2,練習,70,0,Incongruent,Run2練習結束,,,,,,EVENT,,1763878432.2121317,588.71,588.71,74.06,,
S004,2,預備開始,70,0,Incongruent,Run 2 預備開始開始,,,,,,EVENT,,1763878432.2136424,588.71,588.71,74.06,,
S004,2,預備開始,70,0,Incongruent,Run 2 預備開始結束,,,,,,EVENT,,1763878442.2145596,598.71,598.71,84.06,,
S004,2,正式,70,0,Incongruent,Run2正式開始,,,,,,EVENT,,1763878442.2155688,598.71,598.71,84.06,,
S004,2,正式,71,1,Incongruent,,Straight 圖片,Gemini_Generated_Image_7ypa4e7ypa4e7ypa (4).png,y,0.8341437000199221,1,None,y:0.834,600.7624029999715,604.76,604.76,90.12,600.7503185999813,0.012917799991555512
S004,2,正式,72,2,Incongruent,,低 正向 文字,反思,y,1.450284600025043,0,Wrong,y:1.450,606.7644678999786,610.76,610.76,96.12,606.7503185999813,0.014669500000309199
S004,2,正式,73,3,Incongruent,,Straight 圖片,Gemini_Generated_Image_8jcutu8jcutu8jcu.png,y,0.6666993999970146,1,None,y:0.667,612.765639899997,616.77,616.77,102.12,612.7503185999813,0.0160413000266999
S004,2,正式,74,4,Incongruent,,Gay 圖片,Gemini_Generated_Image_qcheitqcheitqche (2).png,b,0.798965500027407,1,None,b:0.799,618.7508223999757,622.75,622.75,108.10,618.7503185999813,0.0012150999973528087
S004,2,正式,75,5,Incongruent,,中 正向 文字,感興趣,None,nan,0,Miss,y:1.786,624.7522681999835,628.75,628.75,114.11,624.7503185999813,0.0030069000204093754
S004,2,正式,76,6,Incongruent,,Straight 圖片,Gemini_Generated_Image_uvtqutuvtqutuvtq.png,y,0.9027189000044018,1,None,y:0.903,630.7537402000162,634.75,634.75,120.11,630.7503185999813,0.004338900034781545
S004,2,正式,77,7,Incongruent,,低 負向 文字,悲慘,y,1.251828000007663,1,None,y:1.252,636.7552029999788,640.76,640.76,126.11,636.7503185999813,0.005702099995687604
S004,2,正式,78,8,Incongruent,,Straight 圖片,Gemini_Generated_Image_pz4orypz4orypz4o (3).png,y,0.8023521000286564,1,None,y:0.802,642.7566167999757,646.76,646.76,132.11,642.7503185999813,0.007819599995855242
S004,2,正式,79,9,Incongruent,,Straight 圖片,Gemini_Generated_Image_7ypa4e7ypa4e7ypa (2).png,y,0.9530110000050627,1,None,y:0.953,648.7588413999765,652.76,652.76,138.11,648.7503185999813,0.009403900010511279
S004,2,正式,80,10,Incongruent,,Gay 圖片,Gemini_Generated_Image_qcheitqcheitqche.png,b,0.7856959000346251,1,None,b:0.786,654.760827799968,658.76,658.76,144.11,654.7503185999813,0.010496000002603978
S004,2,正式,81,11,Incongruent,,中 負向 文字,冷漠,y,1.0510466999839991,1,None,y:1.051,670.7648678999976,674.77,674.77,160.12,670.7503185999813,0.015307600027881563
S004,2,正式,82,12,Incongruent,,中 負向 文字,悲觀,y,1.0687686000019312,1,None,y:1.069,676.7661431999877,680.75,680.75,166.10,676.7503185999813,0.0003575999871827662
S004,2,正式,83,13,Incongruent,,Straight 圖片,ChatGPT Image 2025年11月16日 下午10_10_18.png,y,0.8179835000191815,1,None,y:0.818,682.7512773000053,686.75,686.75,172.10,682.7503185999813,0.001711999997496605
S004,2,正式,84,14,Incongruent,,中 負向 文字,憤世嫉俗,y,0.985423100006301,1,None,y:0.985,688.7527338999789,692.75,692.75,178.11,688.7503185999813,0.003583799989428371
S004,2,正式,85,15,Incongruent,,低 負向 文字,心力交瘁,y,0.7517047000001185,1,None,y:0.752,694.7542411999893,698.76,698.76,184.11,694.7503185999813,0.004699300043284893
S004,2,正式,86,16,Incongruent,,中 正向 文字,調皮,y,1.1361777000129223,0,Wrong,y:1.136,700.7557087999885,704.76,704.76,190.11,700.7503185999813,0.006158200034406036
S004,2,正式,87,17,Incongruent,,Gay 圖片,Gemini_Generated_Image_3wgq3s3wgq3s3wgq.png,None,nan,0,Miss,b:1.501,706.7579443000141,710.76,710.76,196.11,706.7503185999813,0.007472100027371198
S004,2,正式,88,18,Incongruent,,高 負向 文字,驚慌,y,1.2688370000105351,1,None,y:1.269,712.7591975000105,716.76,716.76,202.11,712.7503185999813,0.008759699994698167
S004,2,正式,89,19,Incongruent,,低 正向 文字,禪定,b,1.0521795999957249,1,None,b:1.052,718.761138300004,722.76,722.76,208.11,718.7503185999813,0.011135999986436218
S004,2,正式,90,20,Incongruent,,中 正向 文字,深情,y,1.1672360000084154,0,Wrong,y:1.167,724.7620054999716,728.76,728.76,214.12,724.7503185999813,0.01304699998581782
S004,2,正式,91,21,Incongruent,,中 正向 文字,感激,b,1.135686199995689,1,None,b:1.136,740.7668872000067,744.75,744.75,230.10,740.7503185999813,0.0006976000149734318
S004,2,正式,92,22,Incongruent,,Straight 圖片,Gemini_Generated_Image_m8js26m8js26m8js (3).png,y,0.7339056999771856,1,None,y:0.734,746.7525834999979,750.75,750.75,236.10,746.7503185999813,0.002167500031646341
S004,2,正式,93,23,Incongruent,,高 負向 文字,反抗,y,1.234712400007993,1,None,y:1.235,752.7536012000055,756.76,756.76,242.11,752.7503185999813,0.004941100021824241
S004,2,正式,94,24,Incongruent,,Straight 圖片,ChatGPT Image 2025年11月16日 下午10_10_59.png,y,0.7343192000407726,1,None,y:0.734,758.7557305999799,762.76,762.76,248.11,758.7503185999813,0.005316700029652566
S004,2,正式,95,25,Incongruent,,低 負向 文字,倦怠,y,1.051348299952224,1,None,y:1.051,764.756821500021,768.76,768.76,254.11,764.7503185999813,0.0075323000201024115
